Daytime_evening_attendance,Previous_qualification_grade,Admission_grade,Displaced,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Status
Daytime,140.0,122.9,No,No,Yes,Male,No,0,5,1,10.0,0,5,2,12.0,Dropout
Evening,120.0,113.9,Yes,No,Yes,Male,No,0,5,5,11.0,0,5,5,11.6,Graduate
Daytime,120.0,120.0,No,Yes,No,Male,No,2,6,3,11.666666666666666,1,6,3,12.0,Dropout
Daytime,126.0,121.1,No,Yes,Yes,Male,No,0,6,4,12.75,0,5,0,0.0,Dropout
Daytime,133.0,120.4,Yes,No,Yes,Male,No,0,5,5,14.8,0,5,5,15.8,Graduate
Daytime,103.0,100.6,Yes,No,Yes,Male,No,0,7,5,13.928,0,8,7,14.342857142857142,Graduate
Daytime,120.0,121.4,No,No,No,Male,No,0,6,4,13.0,0,6,5,13.8,Dropout
Evening,133.1,109.7,No,No,Yes,Male,No,0,5,0,0.0,0,5,0,0.0,Dropout
Evening,154.0,134.1,No,No,Yes,Male,No,0,5,2,11.5,0,5,3,14.333333333333334,Enrolled
Daytime,130.0,127.6,Yes,No,Yes,Male,No,0,6,6,11.666666666666666,0,6,5,13.2,Graduate
Daytime,132.0,132.4,Yes,No,Yes,Male,Yes,0,7,6,13.516666666666666,0,8,7,13.771428571428572,Graduate
Evening,130.0,133.4,No,No,Yes,Male,Yes,3,6,6,11.5,2,6,6,13.285714285714286,Graduate
Daytime,139.0,126.1,No,No,Yes,Male,Yes,0,6,5,12.333333333333334,0,6,6,12.833333333333334,Graduate
Daytime,130.0,113.5,No,No,Yes,Male,Yes,0,6,6,13.666666666666666,0,6,6,14.166666666666666,Graduate
Daytime,139.0,121.3,Yes,No,Yes,Male,Yes,0,8,6,11.833333333333334,0,8,6,11.833333333333334,Enrolled
Daytime,127.0,121.8,Yes,No,Yes,Male,Yes,0,6,4,14.0,0,6,3,11.0,Enrolled
Daytime,167.0,159.3,No,No,Yes,Male,No,0,5,5,14.714285714285714,0,5,5,15.8,Graduate
Evening,130.0,120.0,No,No,Yes,Male,No,0,5,5,10.6,0,5,5,11.0,Dropout
Daytime,130.0,129.1,Yes,No,Yes,Male,No,0,7,7,13.044444444444444,0,8,8,13.595,Graduate
Daytime,130.0,130.0,No,No,Yes,Male,No,0,6,0,0.0,0,6,0,0.0,Dropout
Daytime,129.0,155.3,Yes,No,Yes,Male,No,0,6,5,13.0,5,11,10,12.9,Dropout
Daytime,141.0,139.8,Yes,No,Yes,Male,No,0,8,8,14.935,0,8,8,14.935,Graduate
Daytime,125.0,115.2,Yes,No,Yes,Male,No,0,0,0,0.0,0,0,0,0.0,Enrolled
Daytime,125.0,114.9,No,No,Yes,Male,No,0,7,6,13.133333333333333,0,8,7,12.221428571428572,Graduate
Daytime,130.0,131.9,No,No,Yes,Male,Yes,3,6,6,12.0,2,6,6,12.0,Graduate
Daytime,133.0,126.0,Yes,No,Yes,Female,Yes,0,0,0,0.0,0,0,0,0.0,Enrolled
Daytime,127.0,130.2,Yes,No,Yes,Female,No,0,6,5,11.4,0,6,1,10.0,Enrolled
Daytime,116.0,120.9,No,No,Yes,Female,No,0,6,0,0.0,0,6,0,0.0,Enrolled
Daytime,133.1,126.0,Yes,No,Yes,Female,No,2,7,5,11.9,1,8,5,11.0,Dropout
Daytime,139.0,128.2,Yes,No,Yes,Female,Yes,0,0,0,0.0,0,0,0,0.0,Graduate
Daytime,130.0,130.0,Yes,No,Yes,Female,No,0,6,6,12.571428571428571,0,6,6,12.428571428571429,Graduate
Daytime,125.0,120.1,No,Yes,Yes,Female,No,0,5,5,11.2,0,5,4,10.75,Dropout
Daytime,160.0,100.0,No,No,Yes,Female,No,0,6,6,12.0,0,6,5,10.8,Enrolled
Daytime,148.0,134.0,No,No,Yes,Female,No,0,5,0,0.0,0,5,0,0.0,Enrolled
Daytime,150.0,130.8,No,No,Yes,Female,No,0,7,7,11.975,0,8,8,13.75,Graduate
Daytime,141.0,135.8,Yes,No,Yes,Female,No,0,0,0,0.0,0,0,0,0.0,Dropout
Daytime,118.0,111.7,Yes,No,Yes,Female,No,0,6,3,11.666666666666666,0,6,1,12.0,Dropout
Daytime,142.0,132.9,Yes,No,Yes,Female,No,0,6,6,12.333333333333334,0,6,3,12.333333333333334,Graduate
Daytime,120.0,115.5,Yes,Yes,Yes,Female,No,0,5,3,10.333333333333334,0,5,3,10.857142857142858,Dropout
Daytime,106.0,106.0,Yes,No,Yes,Female,Yes,0,6,4,10.5,0,6,1,11.0,Dropout
Daytime,121.0,120.3,Yes,Yes,Yes,Female,Yes,0,6,6,13.666666666666666,0,6,6,13.333333333333334,Graduate
Daytime,150.0,130.8,No,No,Yes,Female,Yes,0,7,7,14.842857142857142,0,8,8,15.055555555555555,Graduate
Evening,120.0,117.0,No,No,Yes,Female,No,0,6,6,12.0,0,6,6,11.666666666666666,Graduate
Daytime,114.0,110.2,Yes,No,Yes,Female,No,0,6,5,12.2,0,6,5,12.2,Dropout
Evening,140.0,155.7,Yes,No,Yes,Female,No,0,1,0,0.0,0,5,0,0.0,Dropout
Daytime,160.0,180.4,No,Yes,Yes,Female,No,6,12,6,12.166666666666666,7,12,10,13.3,Dropout
Daytime,120.0,125.5,No,No,Yes,Female,No,0,5,5,12.0,0,5,3,11.333333333333334,Enrolled
Evening,130.0,110.0,Yes,No,Yes,Male,No,0,6,6,11.0,0,6,5,11.0,Graduate
Daytime,160.0,161.0,Yes,No,Yes,Male,Yes,0,8,7,13.08,0,8,7,13.08,Graduate
Daytime,120.0,100.0,No,No,Yes,Male,Yes,0,5,4,10.5,0,5,5,11.6,Graduate
Daytime,124.0,117.6,Yes,No,Yes,Female,No,0,6,6,10.666666666666666,0,6,5,11.2,Graduate
Daytime,143.0,128.7,Yes,No,Yes,Female,No,0,5,4,14.0,0,5,5,13.8,Enrolled
Daytime,115.0,112.2,Yes,Yes,Yes,Female,No,0,5,2,10.0,0,5,0,0.0,Enrolled
Daytime,133.1,100.8,No,No,Yes,Female,No,0,7,0,0.0,0,7,0,0.0,Dropout
Daytime,133.1,105.0,Yes,No,No,Male,No,0,6,6,14.0,0,6,6,13.5,Graduate
Daytime,133.1,100.0,No,No,Yes,Male,No,0,6,2,12.0,0,6,0,0.0,Dropout
Daytime,133.1,115.5,No,No,Yes,Male,No,0,6,3,12.666666666666666,0,6,0,0.0,Dropout
Evening,133.1,114.0,No,No,Yes,Male,No,2,8,8,11.875,0,6,6,12.333333333333334,Graduate
Daytime,130.0,137.0,Yes,No,Yes,Female,No,0,5,5,14.0,0,5,3,13.25,Enrolled
Daytime,135.0,124.9,Yes,No,Yes,Male,No,0,6,6,13.666666666666666,0,6,6,13.333333333333334,Graduate
Daytime,132.0,120.3,Yes,No,Yes,Male,Yes,0,7,7,13.75,0,8,8,14.47777777777778,Graduate
Daytime,135.0,134.3,Yes,No,Yes,Male,No,0,5,5,14.2,0,5,5,13.8,Enrolled
Daytime,115.0,111.5,Yes,Yes,No,Male,No,0,7,4,11.96,0,7,0,0.0,Dropout
Daytime,130.0,128.8,No,No,Yes,Male,No,7,10,8,12.875,4,9,5,13.4,Dropout
Daytime,133.1,110.0,Yes,No,Yes,Male,No,0,0,0,0.0,0,0,0,0.0,Graduate
Evening,130.0,113.5,Yes,No,Yes,Male,No,0,6,0,0.0,0,6,0,0.0,Dropout
Daytime,133.1,160.0,No,No,Yes,Male,No,13,18,18,14.63157894736842,10,13,13,14.23076923076923,Graduate
Daytime,123.0,117.4,Yes,No,Yes,Male,No,0,6,0,0.0,0,6,0,0.0,Dropout
Daytime,130.0,122.2,No,Yes,Yes,Male,No,4,10,10,13.0,5,11,11,12.272727272727272,Graduate
Daytime,122.0,118.2,Yes,No,Yes,Male,No,0,6,0,0.0,0,6,0,0.0,Dropout
Daytime,113.0,106.7,Yes,No,Yes,Male,No,0,6,4,14.2,0,6,4,13.25,Dropout
Daytime,111.0,108.2,Yes,No,Yes,Male,No,2,7,6,13.266666666666666,0,7,5,12.3,Dropout
Daytime,133.1,107.0,Yes,No,Yes,Male,No,0,7,6,11.666666666666666,0,7,3,13.0,Enrolled
Daytime,142.0,136.1,Yes,No,Yes,Male,No,0,6,6,13.857142857142858,0,6,6,15.0,Graduate
Daytime,123.0,115.3,Yes,No,Yes,Male,Yes,0,5,3,13.0,0,5,3,11.0,Enrolled
Daytime,131.0,139.8,Yes,No,Yes,Male,No,0,5,5,13.4,0,5,5,12.8,Graduate
Daytime,158.0,157.0,Yes,No,Yes,Male,No,0,6,6,12.666666666666666,0,6,6,12.571428571428571,Graduate
Daytime,122.0,131.0,Yes,No,Yes,Male,No,0,7,6,12.516666666666666,0,7,6,12.516666666666666,Dropout
Daytime,130.0,100.0,No,No,Yes,Male,No,0,7,6,11.616666666666667,0,7,7,13.0,Enrolled
Daytime,154.0,140.4,Yes,No,Yes,Male,Yes,0,6,2,10.0,0,6,4,10.75,Enrolled
Daytime,120.0,113.4,No,No,Yes,Male,No,0,5,3,10.333333333333334,0,5,3,10.666666666666666,Enrolled
Daytime,140.0,137.0,No,No,Yes,Male,No,0,5,5,13.142857142857142,0,5,5,11.4,Graduate
Daytime,127.0,121.8,No,No,Yes,Male,No,0,5,5,12.6,0,5,5,14.0,Graduate
Daytime,133.1,131.0,Yes,No,Yes,Male,No,0,6,3,11.0,0,6,2,11.0,Dropout
Daytime,120.0,118.6,Yes,No,Yes,Male,No,0,5,5,10.8,0,5,4,11.25,Graduate
Daytime,137.0,122.3,No,No,Yes,Male,No,0,0,0,0.0,0,0,0,0.0,Dropout
Daytime,131.0,127.9,No,No,Yes,Male,Yes,0,5,5,12.8,0,5,5,14.2,Graduate
Daytime,130.0,121.3,Yes,No,Yes,Male,No,0,6,6,14.166666666666666,0,6,6,12.2,Graduate
Daytime,122.0,117.1,Yes,No,Yes,Male,No,0,7,5,12.1,0,7,0,0.0,Dropout
Daytime,160.0,160.0,Yes,No,Yes,Male,No,1,6,6,14.166666666666666,1,6,5,13.77777777777778,Graduate
Daytime,146.0,145.3,Yes,No,Yes,Male,Yes,0,6,5,12.8,0,6,5,13.4,Enrolled
Daytime,131.0,122.6,Yes,No,Yes,Male,No,0,6,6,13.0,0,6,6,13.666666666666666,Graduate
Daytime,132.0,128.0,Yes,No,Yes,Male,No,0,7,7,13.467142857142855,0,8,8,15.011111111111113,Graduate
Daytime,138.0,124.9,Yes,No,Yes,Male,Yes,0,7,7,13.2375,0,8,7,13.742857142857144,Dropout
Daytime,130.0,123.7,Yes,No,Yes,Male,No,0,6,6,12.333333333333334,0,6,6,13.0,Graduate
Daytime,126.0,120.1,Yes,No,Yes,Male,No,0,5,5,12.4,0,5,5,14.6,Graduate
Daytime,148.0,131.7,Yes,No,Yes,Male,No,0,7,5,14.0,0,7,0,0.0,Dropout
Daytime,130.0,133.2,No,No,Yes,Male,No,5,9,9,11.666666666666666,2,7,7,11.714285714285714,Graduate
Daytime,117.0,109.3,No,Yes,No,Male,Yes,0,6,5,12.0,0,6,4,12.5,Dropout
Daytime,120.0,113.0,Yes,No,Yes,Male,No,0,5,4,12.2,0,5,4,11.5,Graduate
Daytime,153.0,157.9,No,Yes,Yes,Male,Yes,0,6,6,14.833333333333334,0,6,6,14.833333333333334,Graduate
Daytime,117.0,112.1,No,No,Yes,Male,Yes,0,7,5,13.188,0,8,7,12.892857142857142,Enrolled
Daytime,178.0,174.7,No,No,Yes,Male,No,0,7,7,17.125,0,8,8,17.5875,Graduate
Daytime,129.0,128.8,Yes,No,Yes,Male,No,0,7,6,12.666666666666666,0,7,6,12.666666666666666,Graduate
Daytime,116.0,110.1,Yes,No,Yes,Male,Yes,0,6,6,12.666666666666666,0,6,5,12.0,Graduate
Daytime,99.0,99.7,Yes,Yes,No,Male,No,0,5,0,0.0,0,5,0,0.0,Enrolled
Daytime,135.0,121.0,Yes,No,Yes,Male,Yes,0,6,6,11.333333333333334,0,6,6,11.5,Graduate
Daytime,141.0,131.7,Yes,No,Yes,Male,Yes,0,7,7,13.605,0,8,8,12.33125,Graduate
Daytime,132.0,119.1,Yes,No,Yes,Male,Yes,0,6,5,12.0,0,6,5,10.8,Graduate
Daytime,132.0,124.7,Yes,No,Yes,Male,No,0,5,0,0.0,0,5,0,0.0,Dropout
Daytime,113.0,117.2,Yes,No,Yes,Male,No,0,6,5,11.2,0,6,3,11.666666666666666,Dropout
Daytime,134.0,128.8,No,No,Yes,Male,No,0,5,5,13.375,0,5,5,14.166666666666666,Graduate
Daytime,136.0,131.5,No,No,Yes,Male,Yes,0,7,6,13.863333333333337,0,8,7,14.178571428571429,Graduate
Daytime,136.0,121.7,Yes,No,Yes,Male,No,0,0,0,0.0,0,0,0,0.0,Enrolled
Daytime,129.0,123.4,No,No,Yes,Male,No,0,5,5,12.4,0,5,5,13.4,Graduate
Daytime,138.0,124.7,Yes,No,Yes,Male,No,0,6,3,12.333333333333334,0,6,5,10.833333333333334,Enrolled
Daytime,137.0,132.8,Yes,No,Yes,Male,No,0,6,6,13.333333333333334,0,6,5,11.8,Graduate
Daytime,115.0,108.7,Yes,No,Yes,Male,No,0,6,3,12.666666666666666,0,6,3,10.0,Dropout
Daytime,129.0,138.1,No,No,Yes,Male,No,0,6,6,12.0,0,6,4,11.5,Dropout
Daytime,131.0,126.5,No,No,Yes,Male,Yes,0,5,5,10.6,0,5,5,11.8,Graduate
Daytime,133.0,127.4,Yes,No,Yes,Male,Yes,0,6,6,12.25,0,6,6,11.857142857142858,Graduate
Daytime,125.0,123.6,Yes,No,Yes,Male,No,0,6,4,11.0,0,6,6,11.833333333333334,Graduate
Evening,120.0,122.0,No,No,Yes,Male,Yes,0,6,5,11.0,0,6,5,12.6,Graduate
Daytime,128.0,118.2,No,No,Yes,Male,No,0,6,6,13.166666666666666,0,6,6,13.0,Dropout
Daytime,127.0,123.9,Yes,No,Yes,Male,Yes,0,7,7,12.855555555555554,0,8,7,12.761111111111113,Graduate
Daytime,134.0,125.8,Yes,No,Yes,Male,No,0,7,7,14.91875,0,8,8,15.355,Graduate
Daytime,132.0,123.3,Yes,No,Yes,Male,No,0,6,4,11.5,0,6,3,11.0,Dropout
Daytime,124.0,124.4,No,No,Yes,Male,No,0,5,5,14.2,0,5,5,14.2,Graduate
Daytime,133.1,126.0,No,No,Yes,Male,Yes,0,6,6,12.5,0,6,6,13.0,Graduate
Daytime,170.0,170.0,No,Yes,Yes,Male,No,0,1,0,0.0,0,6,0,0.0,Enrolled
Daytime,125.0,121.5,No,No,Yes,Male,No,0,6,5,11.666666666666666,0,6,4,11.0,Graduate
Daytime,130.0,130.0,No,No,Yes,Male,No,1,8,7,14.257142857142856,1,8,7,14.257142857142856,Graduate
Daytime,125.0,117.0,Yes,No,Yes,Male,No,0,6,3,12.0,0,6,2,11.333333333333334,Dropout
Daytime,130.0,130.0,Yes,No,Yes,Male,No,0,5,4,11.25,0,5,4,10.5,Enrolled
Daytime,133.1,108.0,No,No,Yes,Male,No,0,7,7,12.457142857142856,0,8,8,13.5625,Graduate
Daytime,131.0,132.3,Yes,No,Yes,Male,No,0,7,6,11.683333333333332,0,7,6,11.683333333333332,Graduate
Evening,150.0,148.0,No,No,Yes,Male,No,0,6,3,11.666666666666666,0,6,5,12.0,Graduate
Daytime,125.0,122.6,Yes,Yes,No,Male,No,0,6,4,11.75,0,6,6,13.166666666666666,Dropout
Daytime,131.0,123.0,Yes,No,Yes,Male,Yes,0,5,3,11.666666666666666,0,5,4,13.5,Enrolled
Daytime,130.0,102.5,No,No,Yes,Male,No,0,6,5,13.2,0,6,5,12.0,Graduate
Daytime,123.0,113.3,Yes,No,Yes,Male,No,0,7,4,11.95,0,7,4,11.95,Dropout
Daytime,141.0,133.0,Yes,No,Yes,Male,No,0,6,5,12.4,0,6,5,10.4,Dropout
Daytime,140.0,140.0,No,No,Yes,Male,No,2,7,6,14.35,3,8,6,14.583333333333334,Dropout
Daytime,140.0,128.3,Yes,No,Yes,Male,No,19,21,21,12.61904761904762,13,19,19,12.789473684210526,Graduate
Evening,140.0,140.0,No,No,Yes,Male,Yes,2,6,6,12.666666666666666,2,6,6,13.166666666666666,Enrolled
Daytime,133.1,104.0,No,Yes,No,Male,No,0,6,5,12.0,0,6,0,0.0,Dropout
Daytime,131.0,122.3,Yes,No,No,Male,No,0,6,6,12.166666666666666,0,6,0,0.0,Dropout
Daytime,143.0,135.0,No,No,Yes,Male,No,0,6,0,0.0,0,6,0,0.0,Dropout
Daytime,132.0,119.1,Yes,Yes,No,Male,No,0,5,3,10.0,0,5,3,10.571428571428571,Dropout
Daytime,143.0,126.6,No,Yes,No,Male,No,5,10,8,11.5,0,6,4,10.0,Enrolled
Daytime,141.0,129.0,Yes,No,Yes,Male,Yes,0,7,6,13.05,0,7,6,13.05,Graduate
Daytime,133.1,162.3,Yes,No,Yes,Male,No,0,6,2,11.0,0,6,0,0.0,Dropout
Daytime,148.0,163.4,Yes,No,Yes,Male,No,0,6,6,11.5,0,6,6,12.0,Graduate
Daytime,125.0,121.5,No,No,Yes,Male,Yes,0,6,6,12.0,0,6,6,12.5,Graduate
Evening,120.0,122.8,No,No,Yes,Male,No,0,6,2,10.0,0,5,1,10.0,Enrolled
Daytime,140.0,118.0,Yes,No,Yes,Male,No,0,5,0,0.0,0,5,0,0.0,Dropout
Daytime,139.0,134.0,No,No,Yes,Male,No,0,6,0,0.0,0,6,0,0.0,Dropout
Daytime,142.0,129.8,Yes,No,Yes,Male,No,0,8,7,12.242857142857144,0,8,7,12.242857142857144,Graduate
Evening,130.0,152.0,Yes,No,Yes,Male,No,0,5,0,0.0,0,5,0,0.0,Dropout
Daytime,126.0,122.8,Yes,No,Yes,Male,No,0,8,8,12.93375,0,8,8,12.93375,Graduate
Daytime,150.0,150.0,No,No,Yes,Male,No,0,5,0,0.0,0,5,0,0.0,Dropout
Daytime,130.0,131.8,No,No,Yes,Male,No,0,7,7,12.571428571428571,0,7,7,14.428571428571429,Graduate
Daytime,120.0,105.9,No,No,Yes,Male,No,0,3,3,11.816666666666668,0,3,3,11.333333333333334,Enrolled
Daytime,138.0,132.1,Yes,No,Yes,Male,No,0,5,4,13.75,0,5,4,14.333333333333334,Graduate
Daytime,127.0,127.4,Yes,No,Yes,Male,No,0,6,6,11.166666666666666,0,6,6,11.333333333333334,Graduate
Daytime,140.0,129.5,Yes,No,Yes,Male,No,0,8,7,12.324285714285711,0,8,7,12.324285714285711,Graduate
Daytime,130.0,126.7,No,Yes,Yes,Male,No,3,6,6,12.166666666666666,2,6,6,11.714285714285714,Graduate
Daytime,128.0,116.5,No,No,Yes,Male,Yes,0,6,5,11.142857142857142,0,6,4,11.25,Graduate
Daytime,132.0,119.1,Yes,No,Yes,Male,No,0,6,4,11.0,0,6,4,10.75,Graduate
Daytime,149.0,126.5,Yes,No,Yes,Male,No,0,8,7,12.914285714285713,0,8,7,12.914285714285713,Graduate
Daytime,155.0,149.8,Yes,No,Yes,Male,Yes,0,6,6,13.833333333333334,0,6,6,14.166666666666666,Graduate
Daytime,120.0,115.1,Yes,No,Yes,Male,No,0,6,6,13.857142857142858,0,6,5,13.4,Graduate
Daytime,133.1,124.5,No,No,Yes,Male,Yes,0,6,6,13.714285714285714,0,6,5,12.8,Dropout
Daytime,131.0,128.3,Yes,No,Yes,Male,Yes,0,8,7,12.642857142857142,0,8,7,12.642857142857142,Graduate
Daytime,149.0,136.0,No,No,Yes,Male,Yes,0,7,6,12.916666666666666,0,7,6,12.916666666666666,Graduate
Daytime,140.0,140.0,Yes,No,Yes,Male,Yes,0,6,6,15.625,0,6,6,15.857142857142858,Graduate
Evening,133.1,126.3,No,No,Yes,Male,Yes,0,5,0,0.0,0,5,0,0.0,Dropout
Daytime,122.0,126.9,No,No,Yes,Male,No,0,6,6,11.714285714285714,0,6,6,12.0,Graduate
Daytime,130.0,145.0,No,No,Yes,Male,No,0,7,6,12.125,0,8,8,13.3125,Enrolled
Daytime,121.0,115.8,Yes,No,Yes,Male,Yes,0,5,5,11.6,0,5,5,11.6,Graduate
Evening,120.0,100.0,Yes,No,Yes,Male,No,0,6,1,10.0,0,6,0,0.0,Dropout
Evening,133.1,102.5,No,No,Yes,Male,Yes,0,6,1,10.0,0,6,0,0.0,Dropout
Daytime,121.0,131.5,No,No,Yes,Male,No,0,5,0,0.0,0,5,2,13.5,Dropout
Daytime,133.0,147.0,No,No,Yes,Male,Yes,0,5,4,13.0,0,5,3,12.333333333333334,Graduate
Daytime,134.0,122.5,No,No,Yes,Male,Yes,0,6,6,13.333333333333334,0,6,6,14.5,Graduate
Daytime,115.0,117.5,Yes,No,Yes,Male,No,0,6,4,11.25,0,6,2,12.5,Dropout
Daytime,127.0,150.0,No,No,Yes,Male,Yes,0,7,5,13.85,0,8,7,12.19285714285714,Graduate
Daytime,135.0,127.5,Yes,No,Yes,Male,Yes,0,7,6,13.741666666666667,0,8,7,14.9125,Graduate
Evening,140.0,140.0,No,No,Yes,Male,No,2,6,6,15.333333333333334,0,5,5,15.8,Graduate
Daytime,130.0,130.0,No,No,Yes,Male,No,0,5,5,11.0,0,5,5,13.8,Graduate
Daytime,135.0,133.3,No,No,Yes,Male,Yes,0,6,6,12.0,0,6,6,12.857142857142858,Graduate
Daytime,140.0,97.0,Yes,No,Yes,Male,No,0,5,0,0.0,0,5,0,0.0,Dropout
Daytime,120.0,112.0,Yes,No,Yes,Male,Yes,0,8,7,11.571428571428571,0,8,7,11.571428571428571,Graduate
Daytime,140.0,123.6,Yes,No,Yes,Male,No,0,6,6,12.857142857142858,0,6,3,12.666666666666666,Graduate
Daytime,133.1,130.5,No,No,Yes,Male,No,0,6,0,0.0,0,6,0,0.0,Dropout
Daytime,135.0,133.3,No,No,Yes,Male,No,0,5,5,13.0,0,5,5,13.2,Graduate
Daytime,123.0,132.1,No,No,Yes,Male,Yes,0,6,5,11.0,0,6,5,12.0,Graduate
Daytime,133.1,100.0,No,No,Yes,Male,No,0,5,3,12.0,0,5,1,15.0,Dropout
Daytime,154.0,140.4,No,No,Yes,Male,Yes,0,6,5,12.6,0,6,6,13.0,Graduate
Daytime,148.0,141.7,No,No,Yes,Male,Yes,0,6,5,13.4,0,6,6,13.166666666666666,Graduate
Daytime,133.0,119.7,No,No,Yes,Male,Yes,0,6,6,11.333333333333334,0,6,6,11.571428571428571,Graduate
Daytime,126.0,122.5,Yes,No,No,Male,No,0,5,4,13.5,0,5,4,14.25,Dropout
Daytime,133.1,140.0,No,Yes,No,Male,No,2,6,3,11.75,1,6,3,10.333333333333334,Dropout
Daytime,125.0,119.4,Yes,No,Yes,Male,No,0,7,6,12.471428571428572,0,7,7,11.4625,Enrolled
Daytime,145.0,155.0,Yes,No,Yes,Male,No,11,17,11,12.909090909090908,9,13,9,13.555555555555555,Enrolled
Daytime,118.0,119.1,Yes,No,Yes,Male,Yes,0,5,5,11.6,0,5,5,13.6,Graduate
Daytime,120.0,122.7,No,No,No,Male,No,0,5,0,0.0,0,5,0,0.0,Dropout
